,committee1,committee2,committee3,committee4
round1,41.16257088846881,65.07561436672968,68.90359168241966,58.93194706994329
round2,47.684310018903595,58.97920604914933,65.87901701323251,59.688090737240074
round3,57.892249527410215,68.19470699432893,63.46880907372401,69.94328922495274
round4,69.5179584120983,49.62192816635161,69.3289224952741,73.58223062381852
round5,47.400756143667294,65.26465028355388,76.18147448015122,71.9281663516068
round6,73.86578449905483,80.24574669187146,73.91304347826086,76.60680529300568
round7,67.43856332703214,70.46313799621929,75.2835538752363,78.73345935727788
round8,68.00567107750473,81.28544423440454,78.44990548204159,79.20604914933837
round9,73.67674858223062,53.875236294896034,80.90737240075615,78.49716446124764
round10,78.16635160680529,77.5992438563327,73.15689981096408,78.30812854442344
round11,77.12665406427222,81.00189035916824,83.50661625708885,82.08884688090737
round12,75.99243856332704,57.84499054820416,85.01890359168242,79.67863894139886
round13,83.12854442344046,76.03969754253308,84.45179584120983,85.34971644612477
round14,69.5179584120983,79.06427221172024,80.90737240075615,84.49905482041588
round15,79.72589792060492,79.53686200378071,84.68809073724007,83.41209829867675
round16,83.69565217391305,75.1890359168242,80.10396975425331,84.92438563327032
round17,84.92438563327032,85.39697542533081,86.38941398865785,78.21361058601134
round18,84.45179584120983,84.35727788279773,84.21550094517958,86.95652173913044
round19,81.61625708884688,73.91304347826086,75.33081285444234,87.42911153119093
round20,74.24385633270322,87.71266540642722,84.21550094517958,80.90737240075615
