,baseline
round1,65.59546313799622
round2,63.94139886578451
round3,69.99054820415878
round4,67.95841209829868
round5,46.975425330812854
round6,70.22684310018904
round7,70.27410207939508
round8,73.62948960302458
round9,77.83553875236295
round10,74.10207939508507
round11,75.0945179584121
round12,72.49527410207939
round13,80.34026465028356
round14,74.19659735349717
round15,54.11153119092628
round16,83.69565217391305
round17,71.69187145557656
round18,56.94706994328923
round19,72.77882797731569
round20,80.43478260869566
